hatchery,date,historic_flow,future_flow,flow_change_factor,pct_flow_change
Alsea Hatchery,1943-01-01,1391140.7389103551,1478256.6018855681,-87115.86297521298,-6.26
Alsea Hatchery,1944-01-01,471575.828971044,490223.4888598707,-18647.659888826718,-3.95
Alsea Hatchery,1945-01-01,490297.71168590966,511921.39291223057,-21623.681226320914,-4.41
Alsea Hatchery,1946-01-01,1165314.5551543848,1225091.7372125485,-59777.182058163686,-5.13
Alsea Hatchery,1947-01-01,644879.0216045642,676800.5389205277,-31921.517315963516,-4.95
Alsea Hatchery,1948-01-01,1141896.4553756833,1189634.4840827223,-47738.02870703908,-4.18
Alsea Hatchery,1949-01-01,739671.1653365112,796389.8869631401,-56718.72162662889,-7.67
Alsea Hatchery,1950-01-01,1065574.824733282,1254584.0127238529,-189009.1879905709,-17.74
Alsea Hatchery,1951-01-01,1338669.869264961,1399534.9692502096,-60865.09998524864,-4.55
Alsea Hatchery,1952-01-01,882286.6597456717,941497.9368953967,-59211.27714972501,-6.71
Alsea Hatchery,1953-01-01,1258685.2498682367,1323881.069791118,-65195.8199228812,-5.18
Alsea Hatchery,1954-01-01,1174186.060579326,1237117.2668709487,-62931.206291622715,-5.36
Alsea Hatchery,1955-01-01,793860.4691538971,822643.4479795515,-28782.97882565437,-3.63
Alsea Hatchery,1956-01-01,2054531.7534812037,2137987.494256258,-83455.74077505432,-4.06
Alsea Hatchery,1957-01-01,495034.18416352256,511551.77967368095,-16517.595510158397,-3.34
Alsea Hatchery,1958-01-01,973003.5601553834,1011159.1000075149,-38155.53985213151,-3.92
Alsea Hatchery,1959-01-01,1165489.5419913915,1222586.602408806,-57097.06041741464,-4.9
Alsea Hatchery,1960-01-01,503734.51300260786,524388.6050837667,-20654.092081158888,-4.1
Alsea Hatchery,1961-01-01,659359.2718425222,698638.2314645684,-39278.95962204621,-5.96
Alsea Hatchery,1962-01-01,686071.0938272448,716842.4256230029,-30771.331795758102,-4.49
Alsea Hatchery,1963-01-01,437667.3902806304,460874.3420629498,-23206.951782319404,-5.3
Alsea Hatchery,1964-01-01,1249200.891660051,1313315.1825907037,-64114.29093065276,-5.13
Alsea Hatchery,1965-01-01,1677852.1690713197,1754423.9036757688,-76571.73460444901,-4.56
Alsea Hatchery,1966-01-01,1558104.0756542755,1632237.330895062,-74133.25524078659,-4.76
Alsea Hatchery,1967-01-01,1023266.5065404057,1070502.1946929556,-47235.688152549905,-4.62
Alsea Hatchery,1968-01-01,810981.1791242281,852226.9389498627,-41245.759825634654,-5.09
Alsea Hatchery,1969-01-01,1617382.013174118,1724302.8675551265,-106920.85438100854,-6.61
Alsea Hatchery,1970-01-01,1459731.0935791926,1509852.4934745305,-50121.399895337876,-3.43
Alsea Hatchery,1971-01-01,1577795.2493760772,1659194.5010171675,-81399.25164109026,-5.16
Alsea Hatchery,1972-01-01,1480726.204849615,1537987.5470275024,-57261.34217788745,-3.87
Alsea Hatchery,1973-01-01,972166.6399000343,1018637.1544050177,-46470.51450498344,-4.78
Alsea Hatchery,1974-01-01,1795672.8220968735,1866927.6701674862,-71254.84807061264,-3.97
Alsea Hatchery,1975-01-01,1198500.4046599837,1261439.2245187107,-62938.819858727045,-5.25
Alsea Hatchery,1976-01-01,1280699.1875928391,1339603.4845247185,-58904.29693187936,-4.6
Alsea Hatchery,1977-01-01,123145.43648845871,126422.45148145816,-3277.0149929994514,-2.66
